Race,Age,Sex,Workclass,Marital-status
White,49,Male,Self-emp-inc,Married-civ-spouse
White,19,Male,Private,Never-married
Black,31,Female,Private,Separated
White,29,Male,Self-emp-not-inc,Married-civ-spouse
White,23,Male,Private,Never-married
White,79,Male,Private,Married-civ-spouse
White,27,Male,Private,Never-married
White,40,Male,Private,Married-civ-spouse
White,18,Female,Private,Never-married
White,31,Male,Local-gov,Married-civ-spouse
White,18,Male,Private,Never-married
White,52,Male,Private,Married-civ-spouse
White,46,Female,Private,Married-civ-spouse
White,59,Male,Private,Married-civ-spouse
White,44,Female,Private,Divorced
White,53,Female,Private,Divorced
White,49,Male,Local-gov,Married-civ-spouse
White,33,Male,Private,Married-civ-spouse
White,30,Male,Private,Never-married
White,43,Female,Federal-gov,Never-married
White,57,Male,Private,Married-civ-spouse
White,37,Female,Private,Divorced
Asian-Pac-Islander,30,Female,Private,Married-civ-spouse
White,34,Male,Local-gov,Married-civ-spouse
White,29,Male,Local-gov,Never-married
White,48,Male,Self-emp-not-inc,Married-civ-spouse
White,37,Male,Private,Married-civ-spouse
White,48,Female,Private,Divorced
Black,32,Male,Federal-gov,Never-married
White,76,Male,Private,Married-civ-spouse
White,44,Male,Private,Married-civ-spouse
White,47,Female,Self-emp-not-inc,Never-married
White,20,Female,Private,Never-married
White,29,Male,Private,Never-married
White,32,Male,Self-emp-inc,Married-civ-spouse
White,30,Male,Private,Never-married
White,31,Female,Local-gov,Never-married
White,42,Male,Private,Married-civ-spouse
White,24,Male,Private,Never-married
White,38,Male,Private,Married-civ-spouse
White,56,Male,Self-emp-not-inc,Married-civ-spouse
White,28,Female,Private,Married-civ-spouse
White,36,Female,Private,Never-married
White,53,Male,Private,Married-civ-spouse
White,56,Male,Self-emp-inc,Married-civ-spouse
Black,49,Male,Local-gov,Married-civ-spouse
White,55,Male,Private,Married-civ-spouse
White,22,Male,Private,Never-married
White,21,Female,Private,Never-married
White,40,Male,Private,Married-civ-spouse
Black,30,Male,Private,Never-married
White,29,Male,State-gov,Married-civ-spouse
Black,19,Male,Private,Never-married
White,47,Female,Private,Married-civ-spouse
White,20,Female,Private,Never-married
White,31,Male,Private,Married-civ-spouse
White,39,Male,Private,Divorced
White,28,Female,Private,Never-married
White,24,Female,Private,Never-married
White,38,Male,Self-emp-not-inc,Married-civ-spouse
White,37,Male,Private,Married-civ-spouse
Black,46,Female,Private,Divorced
White,38,Male,Federal-gov,Married-civ-spouse
White,43,Male,Self-emp-not-inc,Married-civ-spouse
White,27,Female,Private,Married-civ-spouse
White,20,Male,Private,Never-married
Asian-Pac-Islander,49,Male,Private,Married-civ-spouse
White,61,Male,Self-emp-inc,Married-civ-spouse
White,27,Female,Private,Never-married
White,19,Male,Private,Never-married
White,45,Female,Private,Never-married
Black,31,Female,Private,Never-married
White,22,Male,Private,Married-civ-spouse
White,36,Female,Private,Widowed
White,64,Male,Private,Married-civ-spouse
White,47,Female,Local-gov,Divorced
White,34,Female,Private,Never-married
Asian-Pac-Islander,33,Female,Private,Never-married
White,21,Male,Private,Never-married
White,48,Male,Private,Married-civ-spouse
White,23,Male,Private,Never-married
White,29,Male,Private,Divorced
Black,42,Male,Private,Separated
White,25,Female,Private,Never-married
Asian-Pac-Islander,28,Female,Private,Never-married
White,45,Male,Self-emp-not-inc,Married-civ-spouse
White,36,Female,Private,Divorced
White,39,Male,Federal-gov,Never-married
White,18,Male,Private,Never-married
White,66,Female,Local-gov,Widowed
White,27,Male,Private,Never-married
White,28,Male,State-gov,Married-civ-spouse
White,51,Male,Private,Married-civ-spouse
White,27,Male,Private,Never-married
White,28,Male,State-gov,Married-civ-spouse
White,27,Female,Private,Married-spouse-absent
Black,21,Male,Private,Never-married
Black,34,Male,Private,Never-married
White,18,Male,Private,Never-married
White,33,Male,Private,Married-civ-spouse
Black,44,Male,Local-gov,Married-civ-spouse
White,43,Female,Private,Divorced
Black,30,Male,Private,Never-married
White,40,Male,Private,Married-civ-spouse
White,37,Male,Federal-gov,Married-civ-spouse
Black,34,Male,Private,Married-civ-spouse
White,41,Female,Self-emp-not-inc,Divorced
White,31,Female,Private,Married-civ-spouse
White,58,Male,State-gov,Married-civ-spouse
Black,38,Female,Private,Divorced
White,24,Male,Private,Married-civ-spouse
Black,41,Male,Local-gov,Married-civ-spouse
White,47,Male,Private,Married-civ-spouse
White,41,Male,Federal-gov,Married-civ-spouse
White,23,Male,Private,Married-civ-spouse
White,36,Male,Private,Divorced
White,40,Female,Federal-gov,Never-married
White,35,Male,Private,Married-civ-spouse
White,24,Male,Self-emp-not-inc,Never-married
White,26,Female,Private,Never-married
White,51,Male,Private,Married-civ-spouse
White,42,Female,Local-gov,Never-married
White,37,Female,State-gov,Divorced
White,18,Female,Private,Never-married
Black,36,Male,Private,Married-civ-spouse
White,35,Male,Private,Divorced
White,58,Female,Self-emp-inc,Married-civ-spouse
White,17,Female,Private,Never-married
Black,44,Male,Local-gov,Married-civ-spouse
White,37,Male,Private,Married-civ-spouse
Asian-Pac-Islander,60,Male,Private,Married-civ-spouse
White,54,Male,Self-emp-inc,Married-civ-spouse
Black,37,Male,Private,Never-married
White,50,Female,Private,Divorced
White,38,Male,Private,Married-civ-spouse
White,45,Male,Private,Married-civ-spouse
White,25,Male,Private,Never-married
White,31,Male,Private,Married-civ-spouse
Black,54,Male,Private,Married-civ-spouse
White,53,Female,Local-gov,Never-married
White,18,Female,Private,Never-married
White,66,Male,Self-emp-not-inc,Married-civ-spouse
White,75,Female,Private,Widowed
White,65,Female,Private,Divorced
Black,35,Male,Private,Separated
Black,41,Female,Private,Divorced
White,25,Male,Private,Never-married
White,28,Male,Private,Never-married
White,59,Male,State-gov,Married-civ-spouse
White,40,Female,State-gov,Never-married
White,41,Male,Private,Married-civ-spouse
White,38,Male,Local-gov,Married-civ-spouse
White,23,Male,Private,Never-married
White,40,Male,Private,Married-civ-spouse
White,41,Female,Self-emp-not-inc,Married-civ-spouse
White,24,Male,State-gov,Married-civ-spouse
White,38,Male,Private,Divorced
White,56,Male,Private,Married-civ-spouse
White,58,Male,Private,Married-civ-spouse
White,32,Female,Private,Never-married
White,40,Male,Private,Married-civ-spouse
White,45,Male,Private,Married-civ-spouse
White,41,Female,Private,Married-civ-spouse
Black,42,Female,Private,Married-civ-spouse
White,19,Male,Local-gov,Never-married
White,58,Male,Private,Never-married
Asian-Pac-Islander,42,Male,Self-emp-not-inc,Married-civ-spouse
White,20,Female,Private,Never-married
White,32,Female,Private,Separated
White,45,Female,Private,Widowed
White,50,Male,Private,Divorced
White,36,Female,Private,Divorced
White,45,Male,Private,Married-civ-spouse
White,17,Male,Private,Never-married
White,59,Male,Private,Married-civ-spouse
White,26,Male,Private,Married-civ-spouse
Asian-Pac-Islander,37,Male,Self-emp-inc,Married-civ-spouse
White,64,Male,Private,Married-civ-spouse
White,33,Female,Private,Never-married
White,33,Female,Private,Married-civ-spouse
White,61,Male,Private,Married-civ-spouse
White,17,Male,Private,Never-married
White,50,Male,Self-emp-not-inc,Married-civ-spouse
White,27,Male,Local-gov,Never-married
White,30,Female,Private,Divorced
Black,43,Male,Private,Married-civ-spouse
White,44,Male,Private,Married-civ-spouse
White,35,Female,Private,Never-married
White,25,Female,Private,Never-married
White,24,Female,Private,Married-civ-spouse
White,22,Female,Private,Never-married
White,42,Male,Local-gov,Married-civ-spouse
Black,34,Female,Private,Divorced
White,60,Female,Private,Divorced
White,21,Male,Private,Never-married
White,57,Male,Federal-gov,Married-civ-spouse
White,41,Male,Private,Married-civ-spouse
White,50,Male,Private,Divorced
White,25,Female,Private,Never-married
White,50,Male,Private,Married-civ-spouse
White,36,Male,Private,Married-civ-spouse
White,31,Female,Private,Divorced
White,29,Male,Local-gov,Never-married
White,21,Male,Private,Never-married
Black,27,Female,Private,Never-married
White,65,Male,Private,Married-civ-spouse
White,37,Female,Self-emp-inc,Divorced
White,24,Male,Private,Never-married
White,38,Male,Private,Divorced
White,48,Male,Private,Married-civ-spouse
Asian-Pac-Islander,21,Female,Private,Never-married
White,31,Male,Private,Married-civ-spouse
White,55,Male,Private,Married-civ-spouse
Asian-Pac-Islander,24,Female,Private,Married-civ-spouse
White,43,Female,Private,Divorced
White,26,Male,Private,Never-married
White,46,Female,Private,Never-married
White,35,Male,Private,Married-civ-spouse
White,41,Male,Self-emp-inc,Married-civ-spouse
White,26,Male,Private,Never-married
Asian-Pac-Islander,34,Male,Private,Married-civ-spouse
Black,36,Female,Self-emp-not-inc,Divorced
White,22,Male,Private,Never-married
White,24,Male,Private,Never-married
White,77,Male,Self-emp-not-inc,Married-civ-spouse
White,22,Female,Private,Married-civ-spouse
White,29,Female,Private,Never-married
White,62,Female,Private,Widowed
White,39,Male,Self-emp-not-inc,Married-civ-spouse
White,43,Male,Private,Married-civ-spouse
White,35,Male,Private,Divorced
White,29,Female,Private,Never-married
White,76,Male,Self-emp-not-inc,Married-civ-spouse
White,63,Male,Self-emp-not-inc,Married-civ-spouse
White,43,Female,Private,Married-civ-spouse
White,58,Male,Self-emp-not-inc,Married-civ-spouse
Black,41,Male,Private,Never-married
White,26,Male,Private,Never-married
White,47,Male,Private,Never-married
White,55,Male,Local-gov,Married-civ-spouse
White,53,Male,Private,Married-civ-spouse
White,17,Male,Private,Never-married
White,30,Male,Private,Never-married
White,49,Male,Private,Never-married
Black,19,Male,Private,Never-married
Black,45,Male,Private,Married-civ-spouse
White,26,Male,Private,Never-married
White,38,Male,Private,Married-civ-spouse
White,36,Male,State-gov,Married-civ-spouse
White,33,Male,Private,Never-married
Black,22,Female,State-gov,Never-married
White,43,Male,Self-emp-not-inc,Never-married
White,31,Male,Private,Never-married
White,33,Male,Private,Married-civ-spouse
White,26,Male,Private,Married-civ-spouse
White,33,Male,Private,Married-civ-spouse
White,46,Male,Local-gov,Married-civ-spouse
White,38,Male,Federal-gov,Married-civ-spouse
White,40,Male,Private,Married-civ-spouse
White,42,Female,Private,Married-civ-spouse
White,26,Male,Self-emp-not-inc,Married-civ-spouse
White,36,Female,Private,Married-civ-spouse
White,62,Male,Private,Married-civ-spouse
White,43,Male,Private,Married-civ-spouse
White,43,Male,Private,Divorced
White,22,Male,Private,Married-spouse-absent
White,28,Male,Private,Married-civ-spouse
White,56,Male,Self-emp-not-inc,Married-civ-spouse
White,22,Female,Private,Never-married
White,57,Female,Private,Divorced
White,39,Female,Private,Divorced
White,26,Female,Federal-gov,Never-married
White,17,Male,Private,Never-married
White,40,Male,State-gov,Married-civ-spouse
Black,45,Male,Private,Married-civ-spouse
Black,44,Male,Private,Never-married
White,20,Female,Local-gov,Never-married
White,33,Female,Private,Married-civ-spouse
White,23,Male,Private,Never-married
White,46,Male,Self-emp-not-inc,Divorced
White,38,Male,Private,Married-civ-spouse
White,54,Male,Private,Divorced
White,46,Female,Private,Divorced
White,25,Male,Private,Married-civ-spouse
White,46,Female,Private,Divorced
White,36,Female,Local-gov,Married-civ-spouse
White,23,Female,Private,Never-married
White,29,Male,Private,Separated
White,44,Female,Private,Married-civ-spouse
White,19,Female,Private,Never-married
White,19,Female,Private,Never-married
White,35,Female,Private,Married-civ-spouse
White,27,Male,Private,Never-married
White,46,Male,Self-emp-not-inc,Separated
White,34,Male,State-gov,Married-civ-spouse
White,34,Female,Private,Never-married
White,44,Male,Private,Married-civ-spouse
White,45,Female,Private,Divorced
White,25,Male,Private,Married-civ-spouse
White,52,Male,Self-emp-inc,Married-civ-spouse
White,20,Male,Private,Never-married
White,28,Female,Private,Never-married
White,50,Male,State-gov,Married-civ-spouse
White,34,Female,Private,Divorced
Other,28,Male,Private,Married-civ-spouse
White,41,Male,Private,Married-civ-spouse
White,28,Male,Private,Married-civ-spouse
White,46,Male,Self-emp-not-inc,Married-civ-spouse
White,32,Male,Private,Married-civ-spouse
Black,41,Female,Local-gov,Divorced
Black,24,Female,Private,Never-married
White,33,Female,Private,Divorced
White,46,Male,Private,Married-civ-spouse
White,31,Male,State-gov,Married-civ-spouse
White,35,Male,Private,Divorced
White,52,Male,Private,Married-civ-spouse
White,30,Female,Private,Never-married
Black,34,Male,Local-gov,Separated
White,34,Female,State-gov,Divorced
White,20,Male,Private,Married-civ-spouse
White,17,Male,Private,Never-married
White,32,Female,State-gov,Married-civ-spouse
White,29,Male,Private,Divorced
White,33,Female,Private,Never-married
White,25,Male,Private,Married-civ-spouse
White,36,Male,Federal-gov,Never-married
White,23,Male,Private,Never-married
White,63,Male,Self-emp-inc,Married-civ-spouse
White,47,Male,Local-gov,Married-civ-spouse
White,40,Female,Self-emp-not-inc,Married-spouse-absent
White,30,Female,Private,Married-civ-spouse
Asian-Pac-Islander,27,Male,Private,Never-married
White,33,Male,Private,Married-civ-spouse
Black,34,Male,Local-gov,Never-married
White,34,Female,Local-gov,Never-married
White,23,Male,Private,Married-civ-spouse
White,42,Female,Local-gov,Married-civ-spouse
White,29,Male,Private,Never-married
White,45,Female,Private,Divorced
White,24,Male,Federal-gov,Never-married
White,44,Male,Private,Married-civ-spouse
White,27,Male,Private,Never-married
White,20,Male,Private,Never-married
Amer-Indian-Eskimo,51,Male,Private,Married-civ-spouse
White,20,Male,Private,Married-civ-spouse
Black,19,Female,Private,Never-married
White,45,Male,Self-emp-inc,Married-civ-spouse
White,60,Male,Private,Married-civ-spouse
Black,42,Male,Private,Married-civ-spouse
White,44,Female,Self-emp-not-inc,Married-civ-spouse
Asian-Pac-Islander,40,Male,Private,Married-civ-spouse
White,30,Female,Private,Married-civ-spouse
Black,38,Male,Private,Married-civ-spouse
White,23,Male,Private,Married-civ-spouse
White,44,Male,Private,Never-married
Black,54,Male,Local-gov,Married-civ-spouse
White,32,Male,Private,Married-civ-spouse
White,50,Male,Private,Married-spouse-absent
White,24,Female,Private,Never-married
White,37,Female,Private,Married-civ-spouse
White,52,Male,Private,Divorced
White,38,Male,Private,Married-civ-spouse
White,49,Male,Private,Married-civ-spouse
White,30,Female,Private,Married-civ-spouse
White,60,Male,Private,Never-married
White,35,Male,Private,Never-married
White,30,Male,Private,Never-married
White,67,Female,Private,Divorced
White,46,Female,Private,Never-married
White,17,Male,Private,Never-married
White,22,Male,Private,Never-married
White,27,Male,Private,Never-married
White,23,Female,Private,Never-married
White,33,Male,Private,Married-civ-spouse
White,43,Male,Self-emp-not-inc,Married-civ-spouse
White,28,Male,State-gov,Never-married
White,59,Male,Local-gov,Married-civ-spouse
White,45,Female,Local-gov,Divorced
White,38,Male,Private,Married-civ-spouse
White,40,Female,Private,Never-married
White,46,Male,Federal-gov,Divorced
White,35,Female,Private,Never-married
White,34,Female,Private,Divorced
White,33,Male,Private,Never-married
White,41,Female,Private,Divorced
White,20,Male,Private,Never-married
White,23,Male,Private,Never-married
White,26,Female,Private,Never-married
White,23,Male,Local-gov,Never-married
White,62,Male,Local-gov,Married-civ-spouse
White,52,Male,Private,Married-civ-spouse
White,58,Female,Private,Divorced
White,25,Female,Private,Never-married
Black,24,Male,Private,Never-married
White,19,Male,Private,Never-married
White,43,Male,Private,Married-civ-spouse
Black,47,Female,Local-gov,Separated
White,39,Female,Private,Divorced
White,32,Male,Private,Never-married
White,34,Male,Private,Married-civ-spouse
White,28,Male,Private,Divorced
White,34,Male,Private,Married-civ-spouse
White,38,Male,Self-emp-inc,Married-civ-spouse
White,50,Male,Private,Married-civ-spouse
White,37,Male,Local-gov,Married-civ-spouse
White,44,Male,Private,Divorced
White,28,Female,Private,Married-civ-spouse
White,42,Male,Private,Married-civ-spouse
White,74,Female,Private,Divorced
White,38,Male,Self-emp-not-inc,Married-civ-spouse
White,44,Male,Self-emp-not-inc,Married-civ-spouse
White,26,Male,Private,Never-married
Black,36,Male,Private,Married-civ-spouse
White,41,Female,Private,Married-civ-spouse
White,67,Male,Private,Married-civ-spouse
White,39,Male,Local-gov,Married-civ-spouse
White,29,Male,Private,Separated
White,31,Female,Self-emp-inc,Never-married
White,44,Male,Private,Married-civ-spouse
White,29,Male,Private,Never-married
White,30,Female,Private,Never-married
White,27,Male,Private,Never-married
White,27,Male,Private,Married-civ-spouse
White,32,Female,Private,Never-married
White,58,Female,Private,Married-civ-spouse
White,35,Male,Local-gov,Married-civ-spouse
White,21,Male,Private,Never-married
White,28,Male,Private,Never-married
White,46,Male,Self-emp-not-inc,Divorced
White,36,Female,Self-emp-not-inc,Separated
White,72,Female,Private,Widowed
Black,35,Female,Private,Married-civ-spouse
Black,33,Female,Federal-gov,Divorced
White,35,Male,Private,Married-civ-spouse
White,31,Female,Private,Separated
White,34,Female,Private,Married-civ-spouse
White,30,Male,Private,Married-civ-spouse
White,28,Male,Private,Never-married
White,54,Male,Private,Married-civ-spouse
White,47,Male,Private,Married-civ-spouse
Black,24,Female,Private,Never-married
White,52,Male,Self-emp-not-inc,Married-civ-spouse
White,43,Male,Self-emp-inc,Married-civ-spouse
White,45,Female,Private,Separated
White,29,Male,Self-emp-not-inc,Separated
White,47,Male,Private,Divorced
White,24,Male,Private,Never-married
White,51,Male,Private,Married-civ-spouse
White,17,Male,Private,Never-married
White,37,Male,Private,Married-civ-spouse
White,27,Female,Private,Never-married
White,29,Male,Private,Married-civ-spouse
White,36,Female,Self-emp-not-inc,Divorced
White,58,Female,Local-gov,Never-married
White,26,Male,Self-emp-not-inc,Married-civ-spouse
White,57,Male,Private,Married-civ-spouse
White,59,Male,Private,Married-civ-spouse
White,27,Male,Private,Married-civ-spouse
White,31,Male,Self-emp-not-inc,Never-married
White,21,Female,Private,Never-married
White,29,Male,Private,Never-married
White,18,Male,Private,Never-married
White,52,Male,Private,Married-civ-spouse
White,57,Male,Self-emp-inc,Divorced
White,60,Male,Private,Never-married
White,31,Male,Private,Married-civ-spouse
White,23,Female,Private,Never-married
White,27,Male,Private,Never-married
White,42,Male,Self-emp-not-inc,Married-civ-spouse
White,25,Male,Private,Never-married
White,49,Female,Private,Never-married
White,32,Male,Private,Never-married
White,19,Male,Private,Never-married
White,60,Female,Private,Divorced
White,42,Male,Local-gov,Married-civ-spouse
White,35,Male,Self-emp-not-inc,Never-married
Black,48,Female,Private,Never-married
White,51,Male,Private,Married-civ-spouse
Black,36,Male,Local-gov,Separated
White,17,Female,Private,Never-married
White,52,Female,Private,Divorced
White,24,Male,Private,Never-married
White,24,Male,Private,Married-civ-spouse
White,26,Male,Local-gov,Never-married
White,27,Female,Private,Never-married
White,39,Male,Private,Never-married
Black,30,Male,Private,Married-civ-spouse
White,50,Male,Self-emp-not-inc,Married-civ-spouse
White,52,Male,Self-emp-inc,Married-civ-spouse
White,46,Male,Private,Married-civ-spouse
White,23,Female,Private,Never-married
White,29,Male,Private,Married-civ-spouse
White,47,Male,Private,Married-spouse-absent
Black,30,Male,Private,Never-married
White,34,Male,Private,Married-civ-spouse
White,38,Male,Self-emp-not-inc,Married-civ-spouse
White,33,Male,Private,Married-civ-spouse
White,49,Male,Private,Married-civ-spouse
Black,47,Female,Self-emp-not-inc,Never-married
Black,49,Female,Local-gov,Separated
White,43,Male,Private,Married-civ-spouse
Black,30,Female,Private,Married-civ-spouse
White,58,Male,Self-emp-not-inc,Married-civ-spouse
White,19,Female,Private,Never-married
White,21,Male,Private,Never-married
White,33,Male,Private,Married-civ-spouse
White,47,Male,Self-emp-inc,Married-civ-spouse
White,52,Male,Self-emp-not-inc,Married-civ-spouse
White,26,Male,Private,Divorced
White,60,Male,Private,Married-civ-spouse
White,21,Male,Private,Never-married
White,36,Male,Private,Married-civ-spouse
White,31,Male,Private,Married-civ-spouse
White,50,Male,Self-emp-inc,Separated
White,31,Female,Local-gov,Divorced
White,71,Male,Private,Married-civ-spouse
White,30,Male,State-gov,Married-civ-spouse
White,20,Male,Private,Never-married
White,24,Male,Private,Never-married
Asian-Pac-Islander,35,Male,Private,Married-civ-spouse
White,38,Female,State-gov,Separated
White,27,Female,Private,Never-married
Asian-Pac-Islander,29,Female,State-gov,Never-married
White,34,Male,Private,Married-civ-spouse
White,44,Male,Private,Married-civ-spouse
White,43,Male,Private,Married-civ-spouse
Black,44,Male,Self-emp-not-inc,Married-civ-spouse
White,35,Male,Private,Never-married
White,27,Male,Private,Never-married
White,43,Male,Local-gov,Never-married
White,20,Female,Private,Never-married
White,42,Female,Private,Divorced
White,27,Male,State-gov,Married-civ-spouse
Black,42,Male,Private,Married-civ-spouse
White,24,Male,Private,Never-married
White,48,Male,Federal-gov,Divorced
White,17,Male,Self-emp-not-inc,Never-married
White,33,Male,Private,Married-civ-spouse
White,50,Male,Self-emp-inc,Married-civ-spouse
White,22,Female,Private,Never-married
White,17,Male,Private,Never-married
White,32,Male,Private,Married-civ-spouse
White,31,Male,Private,Never-married
White,58,Male,Self-emp-not-inc,Widowed
White,29,Male,Local-gov,Never-married
White,37,Male,Private,Married-civ-spouse
White,34,Male,Self-emp-not-inc,Married-civ-spouse
White,18,Female,State-gov,Never-married
White,34,Female,Private,Divorced
White,45,Female,Local-gov,Married-civ-spouse
White,41,Male,Private,Never-married
White,26,Male,Private,Never-married
White,54,Male,Local-gov,Married-civ-spouse
Black,24,Female,Private,Never-married
White,42,Male,Private,Married-civ-spouse
White,20,Male,Private,Never-married
White,23,Female,State-gov,Never-married
White,35,Male,Private,Never-married
White,31,Male,Private,Married-civ-spouse
White,30,Female,Private,Never-married
White,19,Female,Private,Never-married
White,36,Male,Local-gov,Never-married
White,31,Female,Private,Widowed
White,21,Male,Private,Never-married
White,31,Male,Self-emp-not-inc,Married-civ-spouse
White,46,Female,Private,Divorced
White,44,Female,Private,Divorced
Black,40,Male,Private,Married-civ-spouse
Black,45,Male,Private,Never-married
White,60,Male,Private,Married-civ-spouse
White,18,Male,Private,Never-married
White,28,Male,Private,Married-civ-spouse
Black,36,Female,Private,Divorced
White,36,Male,Private,Separated
White,40,Male,Private,Married-civ-spouse
White,36,Female,Local-gov,Divorced
Black,31,Female,Private,Separated
White,33,Male,Private,Married-civ-spouse
White,19,Female,State-gov,Never-married
White,22,Female,Private,Never-married
White,34,Male,Private,Married-civ-spouse
White,33,Male,Private,Never-married
White,41,Male,Private,Married-civ-spouse
White,29,Male,Private,Never-married
White,50,Male,Local-gov,Married-civ-spouse
White,42,Male,Private,Married-civ-spouse
White,43,Male,Private,Never-married
White,44,Female,Private,Married-civ-spouse
White,20,Female,Private,Never-married
White,31,Male,Private,Married-civ-spouse
White,65,Male,Self-emp-not-inc,Married-civ-spouse
White,23,Female,Private,Never-married
White,26,Male,Private,Married-civ-spouse
White,25,Female,Private,Never-married
White,35,Male,Private,Married-civ-spouse
Black,36,Female,Private,Never-married
White,43,Male,State-gov,Married-civ-spouse
Black,56,Female,Private,Widowed
White,42,Male,Private,Married-civ-spouse
White,19,Female,Private,Never-married
White,55,Male,Self-emp-not-inc,Married-civ-spouse
White,42,Female,Private,Never-married
White,26,Male,Private,Never-married
White,17,Male,Private,Never-married
White,42,Female,Local-gov,Married-civ-spouse
White,55,Male,Private,Married-civ-spouse
Black,32,Female,Private,Never-married
Black,29,Male,Private,Never-married
White,46,Male,State-gov,Married-civ-spouse
White,29,Male,State-gov,Married-civ-spouse
White,22,Male,Private,Never-married
White,58,Male,Self-emp-not-inc,Married-civ-spouse
White,23,Male,Private,Never-married
White,39,Male,Private,Never-married
White,27,Male,Private,Never-married
White,54,Male,Private,Married-civ-spouse
White,33,Female,Local-gov,Never-married
White,46,Female,Federal-gov,Married-civ-spouse
Black,37,Male,Private,Never-married
White,36,Female,Private,Never-married
White,59,Female,Local-gov,Married-civ-spouse
White,34,Male,Local-gov,Divorced
White,53,Male,Self-emp-inc,Married-civ-spouse
White,51,Male,Private,Never-married
White,32,Female,Private,Separated
White,22,Female,Private,Married-civ-spouse
White,47,Female,Self-emp-not-inc,Divorced
White,32,Male,Private,Never-married
White,26,Female,Private,Never-married
White,37,Male,Private,Separated
White,31,Male,Private,Divorced
White,37,Female,Private,Married-civ-spouse
White,55,Male,Private,Never-married
White,23,Male,Local-gov,Divorced
White,36,Female,Private,Divorced
White,34,Male,Private,Married-civ-spouse
White,43,Male,Private,Married-civ-spouse
White,54,Male,Private,Never-married
White,43,Male,State-gov,Married-civ-spouse
White,28,Female,Private,Never-married
White,40,Male,Private,Married-civ-spouse
White,41,Male,Self-emp-not-inc,Married-civ-spouse
Black,42,Female,Private,Divorced
White,61,Male,Self-emp-not-inc,Married-civ-spouse
White,18,Male,Private,Never-married
White,48,Male,Private,Married-civ-spouse
White,41,Male,Self-emp-inc,Married-civ-spouse
White,23,Female,Private,Never-married
White,60,Male,Private,Married-civ-spouse
Black,22,Male,Private,Never-married
White,61,Male,Private,Married-civ-spouse
Black,25,Male,Private,Never-married
White,46,Male,Private,Never-married
White,43,Male,Private,Married-civ-spouse
White,43,Male,Private,Divorced
Black,24,Male,Private,Never-married
White,31,Female,Private,Divorced
White,17,Female,Private,Never-married
White,32,Male,Private,Married-civ-spouse
White,33,Male,Private,Married-civ-spouse
White,64,Male,Private,Married-civ-spouse
White,20,Male,Private,Never-married
White,30,Female,Private,Separated
White,43,Male,Private,Divorced
White,22,Male,Private,Never-married
White,17,Male,Private,Never-married
White,47,Female,Self-emp-not-inc,Married-civ-spouse
White,41,Female,Private,Never-married
White,56,Male,Private,Married-civ-spouse
White,64,Male,Private,Married-civ-spouse
White,47,Male,Private,Married-civ-spouse
White,48,Male,Private,Never-married
White,31,Female,Private,Never-married
White,29,Male,Private,Never-married
